No,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Platform_LE
17, Late-night gaming session with friends.            , Positive  ,2023-01-20 00:05:00, GamerX       ,Twitter, #Gaming #LateNight                      ,0.3714285714285714,0.35714285714285715, UK       ,2023,1,20,0,2
18, Attending a virtual conference on AI.              , Neutral   ,2023-01-20 11:30:00, TechConference,Facebook, #AI #TechConference                     ,0.5714285714285714,0.5714285714285714,USA,2023,1,20,11,0
19, Winter blues got me feeling low.                   , Negative  ,2023-01-20 15:15:00, WinterBlues  ,Instagram, #WinterBlues #Mood                      ,0.08571428571428572,0.07142857142857142, USA       ,2023,1,20,15,1
20, Sipping coffee and enjoying a good book.           , Positive  ,2023-01-21 08:40:00, Bookworm     ,Twitter, #Reading #CoffeeTime                    ,0.4857142857142857,0.49999999999999994, India    ,2023,1,21,8,2
21, Exploring the world of virtual reality.            , Positive  ,2023-01-21 13:20:00, VRExplorer   ,Facebook, #VR #VirtualReality                     ,0.2857142857142857,0.2857142857142857,USA,2023,1,21,13,0
22, Productive day ticking off my to-do list.          , Positive  ,2023-01-21 16:45:00, ProductivityPro,Instagram, #Productivity #WorkFromHome           ,0.7142857142857142,0.7142857142857142, USA ,2023,1,21,16,1
23, Just finished a challenging workout routine.       , Positive  ,2023-01-22 09:15:00, FitnessWarrior,Twitter, #Fitness #ChallengeAccepted             ,0.42857142857142855,0.42857142857142855, UK       ,2023,1,22,9,2
24, Celebrating a milestone at work! 🎉               , Positive  ,2023-01-22 14:30:00, CareerMilestone,Facebook, #Career #Milestone                      ,0.2,0.2142857142857143, Canada  ,2023,1,22,14,0
25, Sunday brunch with friends.                        , Positive  ,2023-01-22 12:00:00, BrunchBuddy  ,Instagram, #Brunch #Friends                       ,0.2857142857142857,0.2857142857142857, UK ,2023,1,22,12,1
26, Learning a new language for personal growth.       , Positive  ,2023-01-23 16:20:00, LanguageLearner,Facebook, #LanguageLearning #PersonalGrowth       ,0.5714285714285714,0.5714285714285714, India     ,2023,1,23,16,0
27, Quiet evening with a good book.                    , Positive  ,2023-01-23 19:45:00, BookLover    ,Instagram, #Reading #QuietTime                     ,0.2857142857142857,0.2857142857142857, Australia ,2023,1,23,19,1
28, Reflecting on the importance of mental health.     , Positive  ,2023-01-24 11:30:00, MentalHealthMatters,Twitter, #MentalHealth #SelfCare                 ,0.4857142857142857,0.49999999999999994, USA      ,2023,1,24,11,2
29, New painting in progress! 🎨                       , Positive  ,2023-01-24 15:00:00, ArtistInAction,Facebook, #Art #PaintingInProgress             ,0.2,0.2142857142857143, Canada ,2023,1,24,15,0
30, Weekend road trip to explore scenic views.         , Positive  ,2023-01-24 17:30:00, RoadTripper  ,Instagram, #RoadTrip #ScenicViews                  ,0.3714285714285714,0.35714285714285715, UK        ,2023,1,24,17,1
31, Enjoying a cup of tea and watching the sunset.     , Positive  ,2023-01-25 18:00:00, SunsetWatcher,Twitter, #TeaTime #Sunset                       ,0.2857142857142857,0.2857142857142857, India    ,2023,1,25,18,2
32, Coding a new project with enthusiasm.              , Positive  ,2023-01-25 13:15:00, CodeEnthusiast,Facebook, #Coding #Enthusiasm                   ,0.7142857142857142,0.7142857142857142, USA ,2023,1,25,13,0
33, Feeling inspired after attending a workshop.       , Positive  ,2023-01-26 09:45:00, WorkshopAttendee,Instagram, #Inspiration #Workshop                  ,0.5714285714285714,0.5714285714285714,USA,2023,1,26,9,1
34, Winter sports day at the local park.               , Positive  ,2023-01-26 14:20:00, WinterSports  ,Twitter, #WinterSports #Fun                     ,0.2857142857142857,0.2857142857142857, Canada   ,2023,1,26,14,2
35, Quality time with family this weekend.             , Positive  ,2023-01-26 17:40:00, FamilyTime   ,Facebook, #FamilyTime #Weekend                    ,0.4857142857142857,0.49999999999999994, UK        ,2023,1,26,17,0
36, Attending a live music concert tonight.            , Positive  ,2023-01-27 20:00:00, MusicLover   ,Instagram, #Music #ConcertNight                  ,0.3714285714285714,0.35714285714285715, USA ,2023,1,27,20,1
37, Practicing mindfulness with meditation.            , Positive  ,2023-01-27 12:30:00, MindfulMoments,Twitter, #Mindfulness #Meditation               ,0.2857142857142857,0.2857142857142857, India    ,2023,1,27,12,2
38, Trying out a new dessert recipe.                   , Positive  ,2023-01-27 16:10:00, DessertExplorer,Facebook, #Dessert #Cooking                      ,0.2,0.2142857142857143, Canada ,2023,1,27,16,0
39, Excited about the upcoming gaming tournament.      , Positive  ,2023-01-28 09:00:00, GamingEnthusiast,Instagram, #Gaming #Tournament                     ,0.7142857142857142,0.7142857142857142,USA,2023,1,28,9,1
40, Planning a garden makeover for spring.             , Positive  ,2023-01-28 14:45:00, GardenPlanner ,Twitter, #Gardening #Spring                     ,0.5714285714285714,0.5714285714285714, USA      ,2023,1,28,14,2
41, Celebrating a friend's birthday tonight! 🎂       , Positive  ,2023-01-28 19:30:00, BirthdayBash ,Facebook, #Birthday #Celebration                  ,0.2857142857142857,0.2857142857142857, UK ,2023,1,28,19,0
42, Feeling accomplished after a productive day.       , Positive  ,2023-01-29 17:00:00, ProductivityWin,Instagram, #Accomplished #Success               ,0.4857142857142857,0.49999999999999994, India ,2023,1,29,17,1
43, A cozy evening with a good movie.                 , Positive  ,2023-01-29 20:20:00, MovieNight   ,Twitter, #CozyNight #MovieTime                   ,0.3714285714285714,0.35714285714285715, Canada   ,2023,1,29,20,2
44, Exploring local art galleries this weekend.        , Positive  ,2023-01-30 11:30:00, ArtExplorer  ,Facebook, #Art #GalleryExplore                    ,0.2857142857142857,0.2857142857142857, USA      ,2023,1,30,11,0
45, New book release from my favorite author!          , Positive  ,2023-01-30 15:45:00, BookwormX    ,Instagram, #BookRelease #FavoriteAuthor           ,0.2,0.2142857142857143, UK   ,2023,1,30,15,1
46, Attending a virtual reality meetup.                , Positive  ,2023-01-30 18:30:00, VRMeetup     ,Twitter, #VRMeetup #VirtualReality               ,0.657142857142857,0.6428571428571428, India    ,2023,1,30,18,2
47, Reflecting on the beauty of nature.                , Positive  ,2023-01-31 10:45:00, NatureLover  ,Facebook, #Nature #Reflection                     ,0.2857142857142857,0.2857142857142857, Australia ,2023,1,31,10,0
48, Cooking a special dinner for loved ones.           , Positive  ,2023-01-31 19:00:00, ChefAtHome   ,Instagram, #Cooking #SpecialDinner                ,0.42857142857142855,0.42857142857142855, USA       ,2023,1,31,19,1
49, Feeling optimistic about the week ahead.           , Positive  ,2023-01-31 16:20:00, OptimisticMindset,Twitter, #Optimism #NewWeek                     ,0.2857142857142857,0.2857142857142857, Canada   ,2023,1,31,16,2
50, Starting a new fitness challenge tomorrow! 💪     , Positive  ,2023-02-01 08:00:00, FitnessChallenge,Facebook, #FitnessChallenge #NewBeginnings       ,0.4857142857142857,0.49999999999999994, UK         ,2023,2,1,8,0
51, Sunday bike ride through scenic trails.           , Positive  ,2023-02-01 13:30:00, BikeExplorer  ,Instagram, #BikeRide #ScenicTrails                ,0.3714285714285714,0.35714285714285715, USA     ,2023,2,1,13,1
52, Can't believe the injustice happening in our society., Anger        ,2023-02-11 09:30:00, SocialJustice   ,Twitter, #Injustice #Angry                            ,0.42857142857142855,0.42857142857142855, Canada     ,2023,2,11,9,2
53, Feeling a sense of fear after watching a thriller movie. , Fear         ,2023-02-11 21:15:00, ThrillerFan     ,Instagram, #Fear #ThrillerMovie                         ,0.2857142857142857,0.2857142857142857, USA          ,2023,2,11,21,1
54, Heartbroken after hearing the news about a natural disaster. , Sadness      ,2023-02-12 14:45:00, EmpathyFirst    ,Facebook, #Sadness #NaturalDisaster                    ,0.5714285714285714,0.5714285714285714, India      ,2023,2,12,14,0
55, The state of the world's environment is just disgusting. , Disgust      ,2023-02-12 18:20:00, EcoAwareness    ,Twitter, #Disgust #Environment                        ,0.3714285714285714,0.35714285714285715, UK         ,2023,2,12,18,2
56, Pure happiness: celebrating a loved one's achievement! , Happiness    ,2023-02-13 10:00:00, ProudFriend     ,Instagram, #Happiness #Celebration                   ,0.7142857142857142,0.7142857142857142, USA ,2023,2,13,10,1
57, Laughter is the best medicine—enjoying a comedy show. , Joy          ,2023-02-13 19:30:00, ComedyFan       ,Facebook, #Joy #ComedyShow                             ,0.4857142857142857,0.49999999999999994, Canada    ,2023,2,13,19,0
58, Sharing love and positive vibes with everyone! ❤️      , Love         ,2023-02-14 08:30:00, LoveSpreader    ,Twitter, #Love #SpreadLove                            ,0.2857142857142857,0.2857142857142857, Australia  ,2023,2,14,8,2
59, An amusing incident brightened up my day!               , Amusement    ,2023-02-14 14:20:00, AmusedSoul      ,Instagram, #Amusement #FunTimes                         ,0.3714285714285714,0.35714285714285715, UK           ,2023,2,14,14,1
60, Enjoying a quiet evening with a book and some tea.      , Enjoyment    ,2023-02-14 19:45:00, BookLoverAgain  ,Facebook, #Enjoyment #BookTime                         ,0.5714285714285714,0.5714285714285714, Canada       ,2023,2,14,19,0
61, Admiring the beauty of nature during a peaceful hike.   , Admiration   ,2023-02-15 11:30:00, NatureAdmirer   ,Twitter, #Admiration #Nature                         ,0.42857142857142855,0.42857142857142855, USA       ,2023,2,15,11,2
62, Sending affectionate vibes to all my followers!          , Affection    ,2023-02-15 16:00:00, AffectionSender ,Instagram, #Affection #PositiveVibes                   ,0.2857142857142857,0.2857142857142857,USA,2023,2,15,16,1
63, Experiencing awe at the breathtaking sunset.            , Awe          ,2023-02-15 20:30:00, AweStruck       ,Facebook, #Awe #Breathtaking                          ,0.4857142857142857,0.49999999999999994, Australia   ,2023,2,15,20,0
64, Disappointed with the service at a local restaurant.    , Disappointed ,2023-02-16 09:00:00, FoodieGoneWrong ,Twitter, #Disappointed #BadService                   ,0.3714285714285714,0.35714285714285715, India      ,2023,2,16,9,2
65, A surprise gift from a friend made my day!              , Surprise     ,2023-02-16 14:45:00, HappySurprise   ,Instagram, #Surprise #Gift                              ,0.5714285714285714,0.5714285714285714, USA          ,2023,2,16,14,1
66, Finding acceptance in the midst of life's challenges.   , Acceptance   ,2023-02-16 18:20:00, AcceptanceSeeker,Facebook, #Acceptance #Challenges                     ,0.2857142857142857,0.2857142857142857, Canada     ,2023,2,16,18,0
67, Overflowing with adoration for my adorable pet! 🐾      , Adoration    ,2023-02-17 10:45:00, PetAdorer       ,Twitter, #Adoration #PetLove                         ,0.4857142857142857,0.49999999999999994, UK        ,2023,2,17,10,2
68, Anticipating a thrilling adventure in the coming weeks. , Anticipation ,2023-02-17 07:30:00, AdventureAwaits  ,Instagram, #Anticipation #Adventure                    ,0.42857142857142855,0.42857142857142855,USA,2023,2,17,7,1
69, A bitter experience turned into a valuable lesson.      , Bitter       ,2023-02-17 15:00:00, LearnFromBitter ,Facebook, #BitterLesson #Growth                      ,0.3714285714285714,0.35714285714285715, USA       ,2023,2,17,15,0
70, Finding calmness in the midst of a busy day.            , Calmness     ,2023-02-18 09:30:00, ZenMaster       ,Twitter, #Calmness #PeacefulMind                    ,0.2857142857142857,0.2857142857142857, India     ,2023,2,18,9,2
71, Confusion clouds my mind as I navigate through decisions., Confusion    ,2023-02-18 14:20:00, ConfusedMind    ,Instagram, #Confusion #DecisionMaking                 ,0.5714285714285714,0.5714285714285714, UK   ,2023,2,18,14,1
72, Excitement building up for the upcoming vacation!       , Excitement   ,2023-02-18 18:45:00, VacationDreamer ,Facebook, #Excitement #TravelPlans                   ,0.4857142857142857,0.49999999999999994, Canada    ,2023,2,18,18,0
73, Kindness witnessed today restored my faith in humanity. , Kind         ,2023-02-19 11:30:00, KindnessPrevails,Twitter, #Kindness #Humanity                        ,0.42857142857142855,0.42857142857142855, USA       ,2023,2,19,11,2
74, Pride in achieving a personal milestone.               , Pride        ,2023-02-19 16:00:00, PersonalAchiever,Instagram, #Pride #Milestone                           ,0.7142857142857142,0.7142857142857142, Australia    ,2023,2,19,16,1
75, A moment of shame for not standing up against injustice. , Shame        ,2023-02-19 19:45:00, ReflectiveSelf  ,Facebook, #Shame #Injustice                           ,0.2857142857142857,0.2857142857142857, India      ,2023,2,19,19,0
76, Fuming with anger after a heated argument.            , Anger        ,2023-02-20 09:30:00, AngryDebater    ,Twitter, #Anger #Argument                             ,0.42857142857142855,0.42857142857142855, Canada     ,2023,2,20,9,2
77, The fear of the unknown is keeping me up at night.    , Fear         ,2023-02-20 21:15:00, FearfulDreamer  ,Instagram, #Fear #Unknown                               ,0.2857142857142857,0.2857142857142857, USA          ,2023,2,20,21,1
78, Heartfelt sadness after bidding farewell to a dear friend. , Sadness      ,2023-02-21 14:45:00, FarewellHeart   ,Facebook, #Sadness #Farewell                          ,0.5714285714285714,0.5714285714285714, India      ,2023,2,21,14,0
79, The state of corruption in our society is utterly disgusting. , Disgust      ,2023-02-21 18:20:00, AntiCorruption  ,Twitter, #Disgust #Corruption                         ,0.3714285714285714,0.35714285714285715, UK         ,2023,2,21,18,2
80, Overflowing happiness: welcoming a new family member!  , Happiness    ,2023-02-22 10:00:00, NewParentJoy    ,Instagram, #Happiness #NewFamilyMember                 ,0.7142857142857142,0.7142857142857142, UK           ,2023,2,22,10,1
81, Laughter is the key to joy—attending a stand-up comedy show. , Joy          ,2023-02-22 19:30:00, StandUpFan      ,Facebook, #Joy #StandUpComedy                         ,0.4857142857142857,0.49999999999999994, Canada    ,2023,2,22,19,0
82, Sending love to all my followers on this beautiful day! ❤️ , Love         ,2023-02-23 08:30:00, LoveSender      ,Twitter, #Love #SpreadLove                            ,0.2857142857142857,0.2857142857142857, Australia  ,2023,2,23,8,2
83, Amused by the antics of my pet—it's pure amusement!      , Amusement    ,2023-02-23 14:20:00, PetAmuser       ,Instagram, #Amusement #PetAntics                       ,0.3714285714285714,0.35714285714285715, UK           ,2023,2,23,14,1
84, Enjoying every moment of this trip—pure enjoyment!      , Enjoyment    ,2023-02-23 19:45:00, TravelExplorer  ,Facebook, #Enjoyment #Travel                           ,0.5714285714285714,0.5714285714285714, USA ,2023,2,23,19,0
85, Admiring the dedication of volunteers at a local charity. , Admiration   ,2023-02-24 11:30:00, CharityAdmirer  ,Twitter, #Admiration #Volunteers                     ,0.42857142857142855,0.42857142857142855, USA        ,2023,2,24,11,2
86, Sending affectionate vibes to friends and family.        , Affection    ,2023-02-24 16:00:00, FamilyLover     ,Instagram, #Affection #FamilyLove                      ,0.2857142857142857,0.2857142857142857,USA,2023,2,24,16,1
87, Awe-struck by the beauty of the night sky.               , Awe          ,2023-02-24 20:30:00, Stargazer       ,Facebook, #Awe #StarryNight                        ,0.4857142857142857,0.49999999999999994, Australia ,2023,2,24,20,0
88, Disappointed with the lack of progress in a personal project. , Disappointed ,2023-02-25 09:00:00, ProjectStruggle ,Twitter, #Disappointed #Project                     ,0.3714285714285714,0.35714285714285715, India      ,2023,2,25,9,2
89, A surprise visit from an old friend brought tears of joy. , Surprise     ,2023-02-25 14:45:00, JoyfulReunion   ,Instagram, #Surprise #OldFriends                       ,0.5714285714285714,0.5714285714285714, USA          ,2023,2,25,14,1
90, Embracing acceptance of life's ups and downs.           , Acceptance   ,2023-02-25 18:20:00, LifeAcceptance  ,Facebook, #Acceptance #LifeJourney                   ,0.2857142857142857,0.2857142857142857, Canada     ,2023,2,25,18,0
91, Overflowing adoration for a cute rescue puppy! 🐶       , Adoration    ,2023-02-26 10:45:00, PuppyAdmirer    ,Twitter, #Adoration #PuppyLove                       ,0.4857142857142857,0.49999999999999994, UK         ,2023,2,26,10,2
92, Anticipating the release of a much-awaited movie.       , Anticipation ,2023-02-26 07:30:00, MovieBuff2      ,Instagram, #Anticipation #MovieRelease                 ,0.42857142857142855,0.42857142857142855, Australia    ,2023,2,26,7,1
93, Bitter experience at the customer service department.   , Bitter       ,2023-02-26 15:00:00, CustomerWoes    ,Facebook, #BitterExperience #CustomerService         ,0.3714285714285714,0.35714285714285715, USA       ,2023,2,26,15,0
94, Finding calmness amidst the chaos of daily life.        , Calmness     ,2023-02-27 09:30:00, CalmSoul        ,Twitter, #Calmness #InnerPeace                      ,0.2857142857142857,0.2857142857142857, India     ,2023,2,27,9,2
95, Confusion reigns as I try to make sense of recent events., Confusion    ,2023-02-27 14:20:00, ConfusedMind2   ,Instagram, #Confusion #MakingSense                    ,0.5714285714285714,0.5714285714285714, UK   ,2023,2,27,14,1
96, Excitement building up for a surprise birthday party.   , Excitement   ,2023-02-27 18:45:00, BirthdayExcite  ,Facebook, #Excitement #SurpriseParty                 ,0.4857142857142857,0.49999999999999994, Canada ,2023,2,27,18,0
97, Witnessed an act of kindness that made my day.          , Kind         ,2023-02-28 11:30:00, KindnessObserver,Twitter, #Kindness #ActsOfKindness                  ,0.42857142857142855,0.42857142857142855, USA       ,2023,2,28,11,2
98, Pride in completing a challenging fitness challenge.    , Pride        ,2023-02-28 16:00:00, FitAchiever     ,Instagram, #Pride #FitnessChallengeCompleted          ,0.7142857142857142,0.7142857142857142, UK            ,2023,2,28,16,1
99, A moment of shame for not speaking up against injustice., Shame        ,2023-02-28 19:45:00, ReflectiveSelf2 ,Facebook, #Shame #Injustice                           ,0.2857142857142857,0.2857142857142857, India     ,2023,2,28,19,0
100, Reflecting on the beauty of diversity in our world.     , Acceptance   ,2023-03-01 10:45:00, DiversityLover  ,Twitter, #Acceptance #Diversity                      ,0.4857142857142857,0.49999999999999994, Australia ,2023,3,1,10,2
101, Excitement for a quiet evening with a good book.        , Excitement   ,2023-03-01 13:30:00, BookwormJoy     ,Instagram, #Excitement #BookTime                       ,0.3714285714285714,0.35714285714285715, USA          ,2023,3,1,13,1
102, Feeling bitter about the unfairness in the workplace.   , Bitter       ,2023-03-01 17:45:00, WorkplaceWoes   ,Twitter, #Bitter #Unfairness                         ,0.2857142857142857,0.2857142857142857, Canada    ,2023,3,1,17,2
103, Calmness prevails as I practice mindfulness.            , Calmness     ,2023-03-02 18:00:00, MindfulMe       ,Facebook, #Calmness #Mindfulness                      ,0.2857142857142857,0.2857142857142857, UK        ,2023,3,2,18,0
104, Confusion surrounds me as I navigate through life's choices. , Confusion ,2023-03-02 13:15:00, ConfusedMind3   ,Instagram, #Confusion #LifeChoices                     ,0.7142857142857142,0.7142857142857142, USA   ,2023,3,2,13,1
105, Excitement for a weekend road trip to explore new places. , Excitement ,2023-03-02 16:45:00, RoadTripper2    ,Twitter, #Excitement #WeekendAdventure               ,0.5714285714285714,0.5714285714285714, India     ,2023,3,2,16,2
106, Kindness witnessed today restores my faith in humanity.  , Kind         ,2023-03-03 11:30:00, KindnessPrevails2,Facebook, #Kindness #HumanityRestored                 ,0.4857142857142857,0.49999999999999994, USA       ,2023,3,3,11,0
107, Pride in accomplishing personal and professional goals.  , Pride        ,2023-03-03 14:30:00, GoalAchiever    ,Instagram, #Pride #Accomplishments                     ,0.2,0.2142857142857143, Canada ,2023,3,3,14,1
108, Shame for not being true to my values in a difficult situation., Shame ,2023-03-03 12:00:00, ReflectiveSelf3 ,Twitter, #Shame #Integrity                           ,0.2857142857142857,0.2857142857142857, UK        ,2023,3,3,12,2
109," Revisiting old memories, feeling a sense of elation. ", Elation       ,2010-05-15 15:30:00, NostalgiaFan    ,Twitter, #Elation #Memories                             ,0.42857142857142855,0.42857142857142855, Canada    ,2010,5,15,15,2
110, The victory of our team brought euphoria to the city. , Euphoria      ,2021-08-10 21:15:00, SportsFanatic   ,Instagram, #Euphoria #Victory                             ,0.2857142857142857,0.2857142857142857, USA      ,2021,8,10,21,1
111," Embracing the beauty of nature, a moment of contentment. ", Contentment   ,2011-06-20 14:45:00, NatureLover2    ,Facebook, #Contentment #Nature                           ,0.5714285714285714,0.5714285714285714, India       ,2011,6,20,14,0
112," Meditating by the serene lake, finding inner peace.   ", Serenity      ,2022-02-12 18:20:00, ZenMaster2      ,Twitter, #Serenity #Meditation                          ,0.3714285714285714,0.35714285714285715, UK          ,2022,2,12,18,2
113, Overflowing with gratitude for life's blessings.      , Gratitude     ,2012-11-25 10:00:00, ThankfulHeart   ,Instagram, #Gratitude #Blessed                            ,0.7142857142857142,0.7142857142857142, Australia   ,2012,11,25,10,1
114," Hopeful for a brighter tomorrow, despite challenges.  ", Hope          ,2013-04-05 19:30:00, OptimisticSoul  ,Facebook, #Hope #Optimism                                ,0.4857142857142857,0.49999999999999994, USA      ,2013,4,5,19,0
115, Empowered to make a difference in my community.        , Empowerment   ,2014-09-14 08:30:00, CommunityLeader ,Twitter, #Empowerment #Community                        ,0.2857142857142857,0.2857142857142857, UK       ,2014,9,14,8,2
116, Compassion in action: supporting a local charity event. , Compassion    ,2015-07-18 14:20:00, CharitySupporter,Instagram, #Compassion #CharityEvent                   ,0.3714285714285714,0.35714285714285715, Canada ,2015,7,18,14,1
117," A moment of tenderness, connecting with loved ones.    ", Tenderness    ,2016-02-23 19:45:00, LovingHeart     ,Facebook, #Tenderness #FamilyTime                       ,0.5714285714285714,0.5714285714285714, UK          ,2016,2,23,19,0
118, Arousal of excitement as I await a special announcement., Arousal       ,2017-10-30 11:30:00, ExcitementFan   ,Twitter, #Arousal #Excitement                           ,0.42857142857142855,0.42857142857142855, Australia ,2017,10,30,11,2
119, Enthusiastically diving into a new project.            , Enthusiasm    ,2018-06-15 16:00:00, ProjectEnthusiast,Instagram, #Enthusiasm #NewProject                       ,0.2857142857142857,0.2857142857142857, USA  ,2018,6,15,16,1
120, Feeling a sense of fulfillment after reaching a milestone., Fulfillment  ,2019-03-28 18:20:00, MilestoneAchiever,Facebook, #Fulfillment #Milestone                       ,0.4857142857142857,0.49999999999999994, India     ,2019,3,28,18,0
121, Reverence for the beauty of a historic landmark.       , Reverence     ,2019-11-11 15:00:00, HistoryLover    ,Twitter, #Reverence #History                           ,0.3714285714285714,0.35714285714285715, UK      ,2019,11,11,15,2
122, Elation after a surprise reunion with old friends.    , Elation       ,2020-04-02 09:30:00, JoyfulReunion2  ,Instagram, #Elation #OldFriends                          ,0.5714285714285714,0.5714285714285714, Canada      ,2020,4,2,9,1
123, The euphoria of a live music concert under the stars.  , Euphoria      ,2021-06-19 14:45:00, MusicEnthusiast ,Facebook, #Euphoria #LiveMusic                          ,0.2857142857142857,0.2857142857142857, USA ,2021,6,19,14,0
124, Contentment in the simplicity of a quiet Sunday.       , Contentment   ,2010-08-15 10:00:00, SimpleJoys      ,Twitter, #Contentment #SundayMood                      ,0.7142857142857142,0.7142857142857142, Australia ,2010,8,15,10,2
125, Serenity found in the pages of a favorite book.        , Serenity      ,2011-09-22 19:30:00, BookLover3      ,Instagram, #Serenity #BookTime                           ,0.4857142857142857,0.49999999999999994, UK          ,2011,9,22,19,1
126, Gratitude for the support received during tough times. , Gratitude     ,2012-03-10 08:30:00, SupportiveFriend,Facebook, #Gratitude #Supportive                        ,0.2857142857142857,0.2857142857142857, India     ,2012,3,10,8,0
127, Hopeful about the possibilities of a new journey.      , Hope          ,2013-12-05 16:00:00, JourneyOptimist ,Twitter, #Hope #NewBeginnings                          ,0.3714285714285714,0.35714285714285715, Canada    ,2013,12,5,16,2
128, Empowerment through learning and personal growth.      , Empowerment   ,2014-07-20 11:30:00, GrowthSeeker    ,Instagram, #Empowerment #PersonalGrowth                  ,0.5714285714285714,0.5714285714285714,USA,2014,7,20,11,1
129, Compassion towards those in need during the holidays.  , Compassion    ,2015-12-22 14:20:00, HolidayHelper   ,Facebook, #Compassion #HolidaySupport                   ,0.3714285714285714,0.35714285714285715, USA      ,2015,12,22,14,0
130, Tenderness in the warmth of a cozy winter evening.     , Tenderness    ,2016-02-10 19:45:00, WinterWarmth    ,Twitter, #Tenderness #CozyEvening                     ,0.5714285714285714,0.5714285714285714, UK       ,2016,2,10,19,2
131, Arousal of excitement for an upcoming adventure.       , Arousal       ,2017-04-30 11:30:00, AdventureAwaits ,Instagram, #Arousal #AdventureTime                       ,0.42857142857142855,0.42857142857142855, Australia ,2017,4,30,11,1
132, Enthusiasm for a creative project in the making.       , Enthusiasm    ,2018-09-15 16:00:00, CreativeSpirit  ,Facebook, #Enthusiasm #Creativity                       ,0.2857142857142857,0.2857142857142857, Canada    ,2018,9,15,16,0
133, Fulfillment in completing a challenging workout routine., Fulfillment  ,2019-06-28 18:20:00, FitnessAchiever ,Twitter, #Fulfillment #FitnessGoals                   ,0.4857142857142857,0.49999999999999994, India     ,2019,6,28,18,2
134, Reverence for the artistry displayed in a museum.      , Reverence     ,2020-11-11 15:00:00, ArtAppreciator  ,Instagram, #Reverence #ArtAppreciation                  ,0.3714285714285714,0.35714285714285715, UK        ,2020,11,11,15,1
135, Elation after achieving a personal goal.               , Elation       ,2021-03-02 09:30:00, GoalAchiever2   ,Facebook, #Elation #PersonalAchievement                ,0.5714285714285714,0.5714285714285714, USA      ,2021,3,2,9,0
